gene	frequency
IGHV1-18	0.00164779288381	
IGHV1-2	0.000445261587933	
IGHV1-2*04	0.000145261587933
IGHV1-2*05	2.53E-05
IGHV1-24	0.000143003721672	
IGHV1-3	0.00010528334449	
IGHV1-45	1.29E-06	
IGHV1-46	8.9236242525E-05	
IGHV1-58	1.91E-05	
IGHV1-69	0.000407570264434	
IGHV1-69-2	0.000460938470726	
IGHV1-8	0.001635704101367	
IGHV2-26	0.000189884834848	
IGHV2-5	0.00308457855648	
IGHV2-70	0.000187273789847	
IGHV2-70D*04	0.000149149235215	
IGHV3-11	0.00161400366885	
IGHV3-13	0.000127163594823	
IGHV3-15	0.000558422173172	
IGHV3-20	0.000121304599586	
IGHV3-21	0.000659595240966	
IGHV3-23	0.000022791429407	
IGHV3-30	0.003752047628284	
IGHV3-30-3	0.003618837774131	
IGHV3-33	0.004484879297993	
IGHV3-43	1.490082512E-05	
IGHV3-43D	1.849715805E-05	
IGHV3-48	0.000124398526358	
IGHV3-49	0.000373579892304	
IGHV3-53	0.000117706249277	
IGHV3-64	1.849715805E-05	
IGHV3-64D	1.849715805E-05	
IGHV3-66	0.000141262415116	
IGHV3-7	0.001531590587457	
IGHV3-72	0.0001210820701	
IGHV3-73	0.000119828296082	
IGHV3-74	0.003112608819314	
IGHV3-9	0.001	
IGHV4-28	2.04E-05	
IGHV4-30-2	0.001082342651003	
IGHV4-30-4	0.00321453836238	
IGHV4-31	0.001797867498694	
IGHV4-34	0.004587972559263	
IGHV4-38-2	0.001	
IGHV4-39	1.04E-05	
IGHV4-4	0.001364547529245	
IGHV4-59	0.003634469182172	
IGHV4-61	0.0018	
IGHV5-10-1	0.001200625329178	
IGHV5-51	0.001627355892806	
IGHV6-1	0.000407133369732	
IGHV7-4-1	0.0007	
IGHV4-NL1	0.005
