gene	length
IGHV1-18	296
IGHV1-2	296
IGHV1-24	296
IGHV1-3	296
IGHV1-45	296
IGHV1-46	296
IGHV1-58	296
IGHV1-69	296
IGHV1-69-2	296
IGHV1-8	296
IGHV2-26	301
IGHV2-5	301
IGHV2-70	301
IGHV3-11	296
IGHV3-11*07N	299
IGHV3-13	293
IGHV3-15	302
IGHV3-20	296
IGHV3-21	296
IGHV3-23	296
IGHV3-23*03_S8662	293
IGHV3-30-3	296
IGHV3-30-5	296
IGHV3-33	296
IGHV3-43	298
IGHV3-43D	298
IGHV3-48	296
IGHV3-49	302
IGHV3-53	293
IGHV3-64	296
IGHV3-64D	296
IGHV3-66	293
IGHV3-69-1	293
IGHV3-7	296
IGHV3-72	302
IGHV3-73	302
IGHV3-74	296
IGHV3-9	298
IGHV4-28	296
IGHV4-30-2	299
IGHV4-30-4	299
IGHV4-31	299
IGHV4-34	293
IGHV4-38-2	296
IGHV4-39	299
IGHV4-4	296
IGHV4-4*07	293
IGHV4-4*08	293
IGHV4-59	293
IGHV4-61	299
IGHV5-10-1	296
IGHV5-51	296
IGHV6-1	305
IGHV7-4-1	296
IGHV3-30	296
IGHV2-70D	301
IGHV3-23D	296
IGHV1-69D	296
